epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,364.415,0.4216,0.35178,0.83499,0.72183,0.70414,0.69105,0.45147,1.05283,0.82235,1.05861,0.000222875,0.000222875,0.000222875
85,368.849,0.41467,0.34888,0.83308,0.71395,0.71167,0.69851,0.47055,1.07063,0.81059,1.06631,0.0002105,0.0002105,0.0002105
86,373.038,0.41582,0.3465,0.83402,0.79447,0.63013,0.69073,0.47472,1.06548,0.86515,1.06437,0.000198125,0.000198125,0.000198125
87,377.238,0.41542,0.34849,0.83493,0.841,0.60518,0.69202,0.4809,1.05622,0.81999,1.06293,0.00018575,0.00018575,0.00018575
88,381.465,0.40655,0.34558,0.83114,0.71831,0.69902,0.69711,0.48296,1.06906,0.87718,1.06445,0.000173375,0.000173375,0.000173375
89,385.618,0.41036,0.34318,0.8323,0.78832,0.63264,0.70453,0.48481,1.05894,0.8285,1.0598,0.000161,0.000161,0.000161
90,389.79,0.41009,0.34519,0.83378,0.7432,0.71501,0.7092,0.48317,1.06837,0.83221,1.05961,0.000148625,0.000148625,0.000148625
91,411.302,0.40398,0.34946,0.82461,0.74039,0.71786,0.69919,0.4798,1.07304,0.80978,1.06552,0.00013625,0.00013625,0.00013625
92,415.556,0.40664,0.34585,0.82186,0.72988,0.72239,0.69864,0.47647,1.06007,0.85195,1.06534,0.000123875,0.000123875,0.000123875
93,419.498,0.38409,0.33128,0.81767,0.74279,0.70749,0.6994,0.47412,1.06168,0.82836,1.06402,0.0001115,0.0001115,0.0001115
94,423.558,0.37553,0.33148,0.81945,0.73926,0.70366,0.6951,0.47098,1.06157,0.872,1.06607,9.9125e-05,9.9125e-05,9.9125e-05
95,427.611,0.38224,0.32835,0.81896,0.7414,0.69196,0.69187,0.47355,1.06555,0.88318,1.07065,8.675e-05,8.675e-05,8.675e-05
96,432.005,0.37967,0.32812,0.81798,0.74567,0.68747,0.69575,0.47633,1.05967,0.87015,1.07063,7.4375e-05,7.4375e-05,7.4375e-05
97,435.946,0.38148,0.32815,0.81807,0.73472,0.69186,0.69607,0.47344,1.07143,0.86689,1.07322,6.2e-05,6.2e-05,6.2e-05
98,439.963,0.3745,0.32645,0.81902,0.72318,0.69721,0.69146,0.47063,1.07111,0.8683,1.07178,4.9625e-05,4.9625e-05,4.9625e-05
99,443.828,0.36799,0.32112,0.81994,0.72057,0.70175,0.695,0.46881,1.07154,0.87511,1.0719,3.725e-05,3.725e-05,3.725e-05
100,447.93,0.36642,0.32072,0.81745,0.71994,0.70433,0.6957,0.46869,1.07516,0.87379,1.07416,2.4875e-05,2.4875e-05,2.4875e-05
